order_id,distance_km,weather,traffic_level,restaurant_load,courier_experience_years,hour,weekday,delivery_time_min
1,8.12,snow,medium,medium,5.4,23,3,44.3
2,19.06,,low,medium,8.4,1,0,81.4
3,14.91,Sunny,HIGH,low,7.5,1,5,54.6
4,12.37,snow,medium,high,3.0,22,3,72.7
5,3.96,RAIN,medium,low,0.7,14,4,26.2
6,3.96,snow,high,high,5.1,10,1,54.4
7,2.1,RAIN,medium,low,8.7,9,2,5.0
8,17.46,snow,HIGH,low,9.0,2,4,83.0
9,12.42,RAIN,high,medium,9.6,16,3,58.8
10,14.45,snow,high,high,8.9,8,1,87.4
11,1.39,snow,high,low,6.0,14,1,29.7
12,19.43,rain,low,low,4.7,13,4,63.1
13,16.82,RAIN,high,high,7.9,18,5,82.6
14,5.03,RAIN,medium,low,7.5,16,0,26.2
15,4.45,RAIN,low,high,5.6,21,1,40.6
16,4.48,sunny,low,medium,1.3,19,6,17.1
17,6.78,snow,low,medium,9.3,16,2,34.4
18,10.97,RAIN,low,high,4.8,15,3,50.9
19,9.21,sunny,low,medium,4.0,19,3,26.8
20,6.53,rain,low,high,6.5,7,3,50.0
21,12.63,RAIN,low,low,6.9,6,6,31.2
22,3.65,RAIN,high,low,2.5,11,4,46.4
23,6.55,sunny,HIGH,high,8.5,0,3,42.6
24,7.96,snow,medium,low,3.3,11,6,44.5
25,9.67,rain,medium,medium,2.3,5,3,44.1
26,15.92,RAIN,high,low,4.4,15,2,67.3
27,4.79,snow,high,low,7.4,17,6,37.7
28,10.77,rain,low,high,9.7,18,0,52.6
29,12.26,Sunny,HIGH,medium,,22,5,52.1
30,1.88,Sunny,low,low,9.4,2,4,5.0
31,12.54,rain,high,low,1.8,2,4,59.0
32,4.24,sunny,low,high,1.2,4,3,27.0
33,2.24,rain,medium,high,5.8,2,2,29.3
34,19.03,rain,medium,medium,3.3,18,1,73.3
35,19.35,sunny,low,low,8.4,4,6,42.8
36,16.36,sunny,HIGH,high,6.9,13,3,74.4
37,6.79,snow,low,high,9.7,20,6,45.4
38,2.86,snow,low,high,2.9,15,3,39.9
39,14.0,sunny,HIGH,medium,5.1,0,4,60.4
40,9.36,Sunny,HIGH,high,5.3,16,4,49.7
41,3.32,Sunny,HIGH,medium,2.8,10,3,28.7
42,10.41,rain,medium,medium,6.1,8,4,50.2
43,1.65,RAIN,low,low,4.7,20,2,14.3
44,18.28,rain,high,low,4.7,3,1,81.8
45,5.92,rain,HIGH,medium,3.9,1,1,39.5
46,13.59,RAIN,HIGH,low,0.7,8,6,60.1
47,6.92,sunny,low,low,5.5,21,1,8.4
48,10.88,Sunny,high,high,3.7,4,6,55.0
49,11.39,rain,low,low,0.5,3,3,41.9
50,4.51,RAIN,,medium,3.4,22,5,28.6
51,19.42,snow,HIGH,low,3.1,4,3,95.4
52,15.73,rain,HIGH,high,4.2,23,3,80.2
53,18.85,Sunny,medium,medium,1.8,23,2,69.3
54,18.0,sunny,high,low,5.3,17,1,69.0
55,12.36,rain,high,medium,7.1,12,4,58.3
56,18.52,rain,HIGH,low,6.5,4,4,71.4
57,2.68,RAIN,HIGH,high,8.1,23,0,38.7
58,4.72,snow,HIGH,low,4.8,18,0,35.0
59,1.86,snow,high,medium,5.4,22,6,43.7
60,7.18,sunny,medium,medium,8.2,2,5,17.7
61,8.38,Sunny,high,medium,4.6,21,6,45.6
62,6.16,sunny,HIGH,low,7.2,17,4,22.7
63,16.75,rain,HIGH,low,4.6,5,1,67.2
64,7.78,rain,medium,low,4.5,5,6,28.0
65,6.34,snow,low,high,7.7,23,3,47.5
66,11.31,Sunny,low,high,2.2,4,4,49.0
67,3.68,RAIN,,high,3.7,0,5,44.3
68,16.24,Sunny,low,medium,2.6,7,5,61.6
69,2.42,rain,low,medium,3.9,0,4,19.8
70,19.75,RAIN,high,medium,2.7,20,0,87.9
71,15.67,Sunny,HIGH,medium,6.0,5,1,62.1
72,4.78,Sunny,low,medium,8.1,19,4,8.2
73,1.1,RAIN,HIGH,low,8.0,13,3,13.7
74,16.49,rain,high,medium,4.0,10,3,74.8
75,14.43,Sunny,HIGH,low,9.9,1,2,49.6
76,14.85,RAIN,HIGH,high,,20,3,68.0
77,15.65,rain,high,high,4.3,3,4,74.3
78,2.41,RAIN,HIGH,high,8.4,12,4,34.1
79,7.81,RAIN,low,high,7.4,6,3,30.6
80,3.2,Sunny,low,high,7.6,5,0,8.4
81,17.4,rain,low,medium,2.4,2,1,70.4
82,12.84,Sunny,,medium,4.9,8,5,37.4
83,7.29,sunny,HIGH,medium,8.7,13,4,29.2
84,2.21,,low,high,5.3,19,3,16.0
85,6.91,rain,HIGH,high,7.0,10,5,52.9
86,7.18,RAIN,medium,low,6.1,4,3,35.0
87,14.86,Sunny,HIGH,medium,8.5,13,4,47.5
